language,abbr,available
English,en,active
French,fr,active
German,de,active
Japanese,ja,active
Spanish,es,active
Russian,ru,active
"Chinese (written vernacular Chinese, a form of Mandarin)",zh,active
Italian,it,active
Portuguese,pt,active
Persian,fa,active
Arabic,ar,active
Polish,pl,active
Dutch,nl,active
Ukrainian,uk,active
Hebrew,he,active
Turkish,tr,active
Indonesian,id,active
Czech,cs,active
Swedish,sv,active
Vietnamese,vi,active
Korean,ko,active
Finnish,fi,active
Hungarian,hu,active
Greek,el,active
Norwegian (Bokmål),no,active
Catalan,ca,active
Bengali,bn,active
Simple English,simple,active
Hindi,hi,active
Serbian,sr,active
Thai,th,active
Romanian,ro,active
Danish,da,active
Uzbek,uz,active
Azerbaijani,az,active
Bulgarian,bg,active
Basque,eu,active
Estonian,et,active
Slovak,sk,active
Malay,ms,active
Croatian,hr,active
Armenian,hy,active
Slovene,sl,active
Cantonese,zh-yue,active
Lithuanian,lt,active
Latvian,lv,active
Esperanto,eo,active
Tamil,ta,active
Galician,gl,active
Urdu,ur,active
Belarusian,be,active
Georgian,ka,active
Kazakh,kk,active
Malayalam,ml,active
Macedonian,mk,active
Albanian,sq,active
Serbo-Croatian,sh,active
Bosnian,bs,active
Afrikaans,af,active
Kannada,kn,active
Egyptian Arabic,arz,active
Telugu,te,active
Cebuano,ceb,active
Latin,la,active
Marathi,mr,active
Kurdish (Sorani),ckb,active
Burmese,my,active
Swahili,sw,active
Tagalog,tl,active
Asturian,ast,active
Belarusian (Taraškievica),be-tarask,active
Icelandic,is,active
Norwegian (Nynorsk),nn,active
Eastern Punjabi,pa,active
Assamese,as,active
Iran Azerbaijani,azb,active
Welsh,cy,active
Tatar,tt,active
Hausa,ha,active
Javanese,jv,active
Mongolian,mn,active
Sinhalese,si,active
Kurdish (Kurmanji),ku,active
Scots,sco,active
Breton,br,active
Occitan,oc,active
Waray,war,active
Alemannic,als,active
Southern Min /Min Nan,zh-min-nan,active
Bashkir,ba,active
Kyrgyz,ky,active
Nepali,ne,active
Irish,ga,active
Tajik,tg,active
Aragonese,an,active
Classical Chinese,zh-classical,active
Gujarati,gu,active
Luxembourgish,lb,active
Igbo,ig,active
Khmer,km,active
Wu,wuu,active
West Frisian,fy,active
Yoruba,yo,active
Somali,so,active
Chechen,ce,active
Lombard,lmo,active
Western Punjabi,pnb,active
Minangkabau,min,active
Yiddish,yi,active
Bavarian,bar,active
Old English /Anglo-Saxon,ang,active
Malagasy,mg,active
Ido,io,active
Odia,or,active
Central Bikol,bcl,active
Pashto,ps,active
Yakut/Sakha,sah,active
Crimean Tatar,crh,active
Sanskrit,sa,active
Sundanese,su,active
Maltese,mt,active
Bihari (Bhojpuri),bh,active
Chuvash,cv,active
Volapük,vo,active
Kinyarwanda,rw,active
Sicilian,scn,active
Amharic,am,active
Faroese,fo,active
Haitian Creole,ht,active
Banjar,bjn,active
Lao,lo,active
Santali,sat,active
Scottish Gaelic,gd,active
Silesian,szl,active
Corsican,co,active
Low German,nds,active
Quechua,qu,active
Westerm Armenian,hyw,active
Mazanderani,mzn,active
Zulu,zu,active
Ligurian,lij,active
Interlingua,ia,active
Acehnese,ace,active
Zazaki,diq,active
Avar,av,active
Aymara,ay,active
Upper Sorbian,hsb,active
Piedmontese,pms,active
Turkmen,tk,active
Ossetian,os,active
Maithili,mai,active
Sindhi,sd,active
Interlingue,ie,active
Mingrelian,xmf,active
Limburgish,li,active
Picard,pcd,active
Twi,tw,active
Venetian,vec,active
Veps,vep,active
Cornish,kw,active
Erzya,myv,active
Old Church Slavonic,cu,active
Sardinian,sc,active
Meadow Mari,mhr,active
West Flemish,vls,active
Kotava,avk,active
Buryat,bxr,active
Kashmiri,ks,active
Bishnupriya Manipuri,bpy,active
Judaeo-Spanish /Ladino,lad,active
Rusyn,rue,active
Fiji Hindi,hif,active
Fula,ff,active
Hakka,hak,active
Lingala,ln,active
Neapolitan,nap,active
Romansh,rm,active
Extremaduran,ext,active
Balinese,ban,active
Dagbani,dag,active
Kashubian,csb,active
Manx,gv,active
Tibetan,bo,active
Walloon,wa,active
Ilokano,ilo,active
Lingua Franca Nova,lfn,active
Moroccan Arabic,ary,active
North Frisian,frr,active
Shona,sn,active
Guarani,gn,active
Emilian-Romagnol,eml,active
Gagauz,gag,active
Kirundi,rn,active
Newar/Nepal Bhasa,new,active
Northern Sami,se,active
Abkhaz,ab,active
Dhivehi,dv,active
Lower Sorbian,dsb,active
Friulian,fur,active
Kalmyk,xal,active
Mirandese,mwl,active
Māori,mi,active
Nahuatl,nah,active
Dutch Low Saxon,nds-nl,active
Uyghur,ug,active
Chewa,ny,active
Franco-Provençal /Arpitan,frp,active
Gan Chinese,gan,active
Gilaki,glk,active
Hawaiian,haw,active
Lezgian,lez,active
N'Ko,nqo,active
Novial,nov,active
Oromo,om,active
Palatine German,pfl,active
Tswana,tn,active
Võro,fiu-vro,active
Tulu,tcy,active
Ewe,ee,active
Gungbe,guw,active
Inari Sami,smn,active
Komi,kv,active
Eastern Min /Min Dong,cdo,active
Navajo,nv,active
Tyap,kcg,active
Udmurt,udm,active
Kapampangan,pam,active
Samogitian,bat-smg,active
Adyghe,ady,active
Akan,ak,active
Doteli,dty,active
Kabardian,kbd,active
Karakalpak,kaa,active
Sotho,st,active
Tongan,to,active
Zeelandic,zea,active
Kabyle,kab,active
Mon,mnw,active
Gorontalo,gor,active
Gothic,got,active
Ingush,inh,active
Livvi-Karelian,olo,active
Papiamento,pap,active
Saterland Frisian,stq,active
Tsonga,ts,active
Aromanian,roa-rup,active
Xhosa,xh,active
Hill Mari,mrj,active
Inuktitut,iu,active
Kongo,kg,active
Moksha,mdf,active
Swazi,ss,active
Tumbuka,tum,active
Tuvan,tyv,active
Konkani,gom,active
Saraiki,skr,active
Shan,shn,active
Bislama,bi,active
Cree,cr,active
Lojban,jbo,active
Nauruan,na,active
Norman,nrm,active
Ripuarian,ksh,active
Wolof,wo,active
Amis,ami,active
Banyumasan,map-bms,active
Chamorro,ch,active
Dzongkha,dz,active
Norfolk,pih,active
Sango,sg,active
Shilha,shi,active
Aramaic,arc,active
Tarantino,roa-tara,active
Tigrinya,ti,active
Zamboanga Chavacano,cbk-zam,active
Dinka,din,active
Kabiye,kbp,active
Ladin,lld,active
Nias,nia,active
Atikamekw,atj,active
Greenlandic,kl,active
Kikuyu,ki,active
Komi-Permyak,koi,active
Lak,lbe,active
Luganda,lg,active
Pennsylvania German,pdc,active
Samoan,sm,active
Tetum,tet,active
Tok Pisin,tpi,active
Vlax Romani,rmy,active
Zhuang,za,active
Bambara,bm,active
Cherokee,chr,active
Inupiaq,ik,active
Karachay-Balkar,krc,active
Madurese,mad,active
Northern Sotho,nso,active
pinayuanan,pwn,active
Pontic Greek,pnt,active
Venda,ve,active
Fijian,fj,active
Cheyenne,chy,active
Jamaican Patois,jam,active
Pali,pi,active
Tahitian,ty,active
Buginese,bug,active
Pangasinan,pag,active
Latgalian,ltg,active
Awadhi,awa,active
Sakizaya,szy,active
Sranan Tongo,srn,active
Guianan Creole,gcr,active
English,nostalgia,active
Northern Luri,lrc,Locked
Afar,aa,Closed
Choctaw,cho,Closed
Herero,hz,Closed
Hiri Motu,ho,Closed
Kanuri,kr,Closed
Kuanyama,kj,Closed
Marshallese,mh,Closed
Muscogee,mus,Closed
Ndonga,ng,Closed
Nuosu/Sichuan Yi,ii,Closed
Moldovan,mo,Deleted
